"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","593","POST - Register API should return 400 Bad Request for Invalid Email Domain","ui-chromium","2026-03-12","failed","2026-03-12","","api/user.api.spec.js","",""
"","638","POST - Login API should return 200 Success for valid credentials","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","1004","GET - Get Current User API Schema Validation","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","1140","User should see field validation error message for empty credentials","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/login-page.spec.js","",""
"","958","GET - Get Current User API should return 200 success for Valid User","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","701","POST - Foget Password API Schema Validation","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","5571","User should see tabs and open Theatre tabs on admin home page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/admin/admin-home.spec.js","",""
"","126","GET - Get current User API should return 401 Unauthorized for invalid token","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","876","User Should see required fields on forget password page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/forgetPassword-page.spec.js","",""
"","998","User should navigate to Register page after clicking on Register link on login page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/login-page.spec.js","",""
"","1671","User should navigate to login page after clicking on login link on register page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/register-page.spec.js","",""
"","5205","User should see action buttons on Delete Movie dialog","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/admin/admin-home.spec.js","",""
"","330","POST - Login API should return 404 Not Found for Invalid credentials","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","10174","Admin should be able to add a new movie e2e","ui-chromium","2026-03-12","failed","2026-03-12","","ui/ui-e2e/admin-adding-movie.spec.js","",""
"","3826","User should see required fields on the Edit Theatre modal","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/partner/partner-home.spec.js","",""
"","485","POST - Reset Password should return 400 Bad Request for wrong Otp","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","1753","User should see required field error message for empty input","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/register-page.spec.js","",""
"","3722","User should see action buttons and tabs on the partner home page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/partner/partner-home.spec.js","",""
"","3777","User should see required fields on Add Theatre modal","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/partner/partner-home.spec.js","",""
"","898","User should see required Register fields and login link on Register page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/register-page.spec.js","",""
"","713","User should see login inputs,Register link and Forgot password link on login page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/login-page.spec.js","",""
"","576","POST - Reset Password API schema validation","ui-chromium","2026-03-12","failed","2026-03-12","","api/user.api.spec.js","",""
"","3114","User should see search movie box and user menu on the home page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/user/user-home.spec.js","",""
"","2691","User should see profile information and settings on the user profie page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/user/user-home.spec.js","",""
"","63698","User should be able to book a ticket for a move e2e","ui-chromium","2026-03-12","broken","2026-03-12","","ui/ui-e2e/user-booking-show.spec.js","",""
"","1718","User should see error message for invalid credentials on login page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/login-page.spec.js","",""
"","581","POST - Register API should return 200 Success for valid Email","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","322","POST - Forget Password API should return 404 Not found error for Invalid User","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","4120","User should see required buttons on Delete Theatre dialog","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/partner/partner-home.spec.js","",""
"","4185","User should see shows table on Shows tab","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/partner/partner-home.spec.js","",""
"","4936","User should see required fields Edit movie modal","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/admin/admin-home.spec.js","",""
"","924","User should navigate to Forgot password page after clicking on Forgot password link on login page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/login-page.spec.js","",""
"","11068","partner should be able to add a show e2e","ui-chromium","2026-03-12","failed","2026-03-12","","ui/ui-e2e/partner-adding-show.spec.js","",""
"","697","POST - Login API Schema validation","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","575","POST - Register API Schema Validation","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","548","POST - Forget Password API should return 200 Success for the Valid User","ui-chromium","2026-03-12","passed","2026-03-12","","api/user.api.spec.js","",""
"","698","POST - Reset Password API should return 200 success for Valid User","ui-chromium","2026-03-12","failed","2026-03-12","","api/user.api.spec.js","",""
"","1563","User should navigate to login page after clicking on loing link on forget password page","ui-chromium","2026-03-12","passed","2026-03-12","","ui/ui-functional/common/auth/forgetPassword-page.spec.js","",""
